index,symbol_rate,fec,pilot_requested,pilot_actual,rx_gain_db,wait_s,result,lock_true_samples,lock_samples,max_snr_db,last_fer,last_per,max_fecframes,max_ts_packets,ts_bytes,started_at
1,500000,1/2,off,off,40,60,PASS,58,59,13.83,4.5e-03,1.2e-03,880,18670,3443972,2026-08-11T09:56:02
2,500000,1/2,off,off,50,60,PASS,58,59,13.98,1.1e-03,0.0e+00,880,18776,3465028,2026-08-11T10:13:55
3,500000,1/2,off,off,60,60,PASS,58,59,13.98,1.1e-03,0.0e+00,880,18776,3465028,2026-08-11T10:15:06
4,500000,1/2,on,on,40,60,PASS,58,59,13.99,3.5e-03,1.1e-03,864,18349,3382120,2026-08-11T09:57:12
5,500000,1/2,on,on,50,60,PASS,58,59,13.98,0.0e+00,0.0e+00,864,18455,3403176,2026-08-11T10:16:16
6,500000,1/2,on,on,60,60,PASS,58,59,13.98,1.2e-03,0.0e+00,864,18434,3399228,2026-08-11T10:17:27
7,500000,3/5,off,off,40,60,PASS,58,59,13.96,4.5e-03,0.0e+00,880,22409,4132240,2026-08-11T10:18:37
8,500000,3/5,off,off,50,60,PASS,58,59,13.94,1.1e-03,0.0e+00,880,22563,4161192,2026-08-11T10:19:48
9,500000,3/5,off,off,60,60,PASS,58,59,13.97,1.1e-03,0.0e+00,880,22563,4161192,2026-08-11T10:20:58
10,500000,3/5,on,on,40,60,PASS,58,59,13.97,4.6e-03,0.0e+00,864,22024,4062492,2026-08-11T10:22:08
11,500000,3/5,on,on,50,60,PASS,58,59,13.97,2.3e-03,0.0e+00,864,22127,4079600,2026-08-11T10:23:19
12,500000,3/5,on,on,60,60,PASS,58,59,14.17,0.0e+00,0.0e+00,864,22178,4091444,2026-08-11T10:24:29
13,500000,2/3,off,off,40,60,PASS,58,59,13.97,4.5e-03,0.0e+00,880,24936,4599420,2026-08-11T10:25:40
14,500000,2/3,off,off,50,60,PASS,58,59,14.0,1.1e-03,0.0e+00,880,25106,4632320,2026-08-11T10:26:50
15,500000,2/3,off,off,60,60,PASS,58,59,13.79,0.0e+00,0.0e+00,880,25135,4636268,2026-08-11T10:28:01
